case_id,coverage_target,target_text,audio_artifact,azure_log_reference,azure_mode,azure_provider,azure_overall_score,azure_phoneme_count,learner_feedback_summary,native_reviewer_id,native_reviewer_role,review_date_utc,native_overall_1_5,feedback_accuracy_1_5,register_politeness_1_5,learner_safety_1_5,verdict,notes
S7-001,clear speech baseline,I went to school yesterday.,ATTACH_REDACTED_AUDIO_OR_REFERENCE,live-azure-smoke.log,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH,ATTACH,ATTACH_LEARNER_FACING_FEEDBACK_TEXT_OR_SUMMARY,REVIEWER_ID,native English reviewer,YYYY-MM-DDTHH:MM:SSZ,,,,,pending,Do not fill until a real reviewer scores this case against real Azure output.
S7-002,VN-accented English,I went to school yesterday.,ATTACH_REDACTED_AUDIO_OR_REFERENCE,live-azure-smoke.log,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH,ATTACH,ATTACH_LEARNER_FACING_FEEDBACK_TEXT_OR_SUMMARY,REVIEWER_ID,native English reviewer,YYYY-MM-DDTHH:MM:SSZ,,,,,pending,Do not fill until a real reviewer scores this case against real Azure output.
S7-003,weak final consonants,Please finish the last task.,ATTACH_REDACTED_AUDIO_OR_REFERENCE,live-azure-smoke.log,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH,ATTACH,ATTACH_LEARNER_FACING_FEEDBACK_TEXT_OR_SUMMARY,REVIEWER_ID,native English reviewer,YYYY-MM-DDTHH:MM:SSZ,,,,,pending,Do not fill until a real reviewer scores this case against real Azure output.
S7-004,/th/ substitution,Think about the weather.,ATTACH_REDACTED_AUDIO_OR_REFERENCE,live-azure-smoke.log,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH,ATTACH,ATTACH_LEARNER_FACING_FEEDBACK_TEXT_OR_SUMMARY,REVIEWER_ID,native English reviewer,YYYY-MM-DDTHH:MM:SSZ,,,,,pending,Do not fill until a real reviewer scores this case against real Azure output.
S7-005,voiced /th/ substitution,This is the right answer.,ATTACH_REDACTED_AUDIO_OR_REFERENCE,live-azure-smoke.log,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH,ATTACH,ATTACH_LEARNER_FACING_FEEDBACK_TEXT_OR_SUMMARY,REVIEWER_ID,native English reviewer,YYYY-MM-DDTHH:MM:SSZ,,,,,pending,Do not fill until a real reviewer scores this case against real Azure output.
S7-006,vowel contrast,Ship and sheep sound different.,ATTACH_REDACTED_AUDIO_OR_REFERENCE,live-azure-smoke.log,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH,ATTACH,ATTACH_LEARNER_FACING_FEEDBACK_TEXT_OR_SUMMARY,REVIEWER_ID,native English reviewer,YYYY-MM-DDTHH:MM:SSZ,,,,,pending,Do not fill until a real reviewer scores this case against real Azure output.
S7-007,vowel plus final /v/ and /ks/,I can leave at six.,ATTACH_REDACTED_AUDIO_OR_REFERENCE,live-azure-smoke.log,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH,ATTACH,ATTACH_LEARNER_FACING_FEEDBACK_TEXT_OR_SUMMARY,REVIEWER_ID,native English reviewer,YYYY-MM-DDTHH:MM:SSZ,,,,,pending,Do not fill until a real reviewer scores this case against real Azure output.
S7-008,question intonation,Can you repeat that question?,ATTACH_REDACTED_AUDIO_OR_REFERENCE,live-azure-smoke.log,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH,ATTACH,ATTACH_LEARNER_FACING_FEEDBACK_TEXT_OR_SUMMARY,REVIEWER_ID,native English reviewer,YYYY-MM-DDTHH:MM:SSZ,,,,,pending,Do not fill until a real reviewer scores this case against real Azure output.
S7-009,consonant cluster plus /th/,The meeting starts at three.,ATTACH_REDACTED_AUDIO_OR_REFERENCE,live-azure-smoke.log,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH,ATTACH,ATTACH_LEARNER_FACING_FEEDBACK_TEXT_OR_SUMMARY,REVIEWER_ID,native English reviewer,YYYY-MM-DDTHH:MM:SSZ,,,,,pending,Do not fill until a real reviewer scores this case against real Azure output.
S7-010,poor audio or no-match control,I went to school yesterday.,ATTACH_REDACTED_AUDIO_OR_REFERENCE,live-azure-smoke.log,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH_FROM_LIVE_AZURE_LOG,ATTACH,ATTACH,ATTACH_LEARNER_FACING_FEEDBACK_TEXT_OR_SUMMARY,REVIEWER_ID,native English reviewer,YYYY-MM-DDTHH:MM:SSZ,,,,,pending,Do not fill until a real reviewer scores this case against real Azure output.
