size	status	branch	prs	path	last_commit
7.8G	dirty	reports/a37-shadow-replay-readiness	none	/Users/admin/MercyB	bdf9c1005 docs(placement-v3): add A37 shadow replay readiness report
421M	clean	feat/b13ph3-pr-a	802	/private/tmp/A1-b13ph3-pra	8a2e68b21 feat(billing): B13ph3 PR-A — _shared/entitlement.ts (additive, zero importers)
289M	clean	chore/a1-placement-v3-merge-readiness	none	/private/tmp/a1-placement-v3-merge-readiness	9ca6cff29 chore(placement-v3): add merge-readiness audit for PR stack
366M	clean	detached	942	/private/tmp/a1-pr942	7fd5f4cbb fix(ci): sync package lock for placement integration
287M	clean	detached	none	/private/tmp/a1-pr943	06334d0d1 feat(placement-v3): add grading drift replay harness
313M	clean	detached	944	/private/tmp/a1-pr944	c8ce5fdbd feat(placement-v3): add benchmarking infrastructure scaffold
287M	clean	detached	946	/private/tmp/a1-pr946	fc692e860 feat(placement-v3): add adaptive item generation gauntlet
286M	clean	docs/edge-fn-security-audit-a10	888	/private/tmp/A10-edge-audit	ae3112fdf docs(security): edge function security + validation audit (A10) — 1 CRITICAL, 9 HIGH
313M	clean	a10/remaining-recon-push	none	/private/tmp/A10-remaining-recon	604674936 docs(meta): A10 inventory + push block for 21 remaining recon branches
313M	clean	b70/t2-retirement-design	none	/private/tmp/A11-t2-retire-plan	f38dc530f docs(money-path): T2 retirement migration design spec (A11)
286M	clean	feat/A11-zod-revenuecat-webhook	895	/private/tmp/A11-zod-webhooks	883bbb5a0 feat(webhook): zod runtime validation for RevenueCat payloads (A11-revenuecat)
286M	clean	feat/A11b-zod-admin-list-trio	916	/private/tmp/A11b-admin-validation	53ac230eb feat(admin-validation): zod schemas for admin-list-* trio (A11b-list-trio)
286M	clean	feat/A11c-zod-public-api	924	/private/tmp/A11c-public-api	d277af57b docs(security): anonymous edge-function audit (A11c Phase 2)
313M	clean	b71/b13-phase3-brief	none	/private/tmp/A12-b13ph3-brief	7cc351b64 docs(billing): B13 phase 3 dispatch spec — single deriveEntitlement foundation (A12)
443M	dirty	test/A12-billing-client-coverage-ratchet	922	/private/tmp/A12-billing-client	ac3417deb test(billing): raise src/billing coverage 62.32% -> 85.71% via subscriptionRepository seam tests (A12-ratchet-2b-tests)
443M	dirty	test/A12-billing-coverage-ratchet	894	/private/tmp/A12-billing-tests	9036d1d25 test(billing): raise _billing coverage 37.07% -> 75.37% (A12-coverage-ratchet-1)
435M	clean	ci/A12-coverage-gate	884	/private/tmp/A12-coverage	3f56ab623 ci(coverage): add Vitest coverage gate with per-folder ratchet (A12)
365M	clean	chore/a13-delete-useteachermercy-orphan	900	/private/tmp/A13-cleanup	98652250e chore(dead-code): delete src/hooks/useTeacherMercy.ts (303 LOC, zero importers)
313M	clean	a13/gift-redemption-victims	none	/private/tmp/A13-gift-victims	e91396f44 audit(money-path): gift-code silent-failure victim query + outreach draft (A13)
365M	clean	chore/a13c-delete-dead-teacher-mercy-widget	903	/private/tmp/A13c-widget-cleanup	511cbf8b1 chore(dead-code): delete dead Teacher-Mercy widget subsystem (A13c, post-#672)
365M	clean	ci/A13-circle-1-stripe-env	912	/private/tmp/A13d-pr1-stripe-env	b7fbce385 refactor(stripe-webhook): break core↔signature cycle via env extraction (A13-circle-1)
286M	clean	ci/A13-circle-FP	919	/private/tmp/A13e-fp	fa56a2ad2 chore(boundaries): narrow no-circular to ignore type-only edges (A13-circle-FP)
365M	clean	refactor/A13-cycle8-languagePair-split	921	/private/tmp/A13f-cycle8	85301b946 refactor(languagePair): split hook from pure module to break 3-hop AuthProvider cycle (A13-circle-8)
286M	clean	retrigger-921	921	/private/tmp/A13i-retrigger	c5e1c2f19 ci: re-trigger after #925 manifest fix landed on main
286M	clean	docs/A14-native-sentry-audit	889	/private/tmp/A14-native-sentry	d4e25b19d docs(audit): native Sentry init follow-up — track CLOSED for code work (A14-audit)
286M	clean	feat/A14-supabase-slow-query	885	/private/tmp/A14-slow-query	b4da1082f feat(observability): slow-query instrumentation for Supabase calls (A14)
313M	clean	a14/webhook-payload-type-audit	none	/private/tmp/A14-webhook-payload-audit	ffa205899 docs(recon): webhook persists invoice object into subscriptions.raw_payload (A14)
365M	clean	feat/A14b-pin-release-name	901	/private/tmp/A14b-release-pin	2df9aac5b feat(sentry): pin plugin + runtime release.name explicitly (A14b-fix-1)
286M	clean	docs/A14b-sentry-release-audit	892	/private/tmp/A14b-sentry-release	38fb23286 docs(audit): Sentry release + sourcemap pipeline audit (A14b-audit)
286M	clean	feat/A14c-widen-domnoise-regex	906	/private/tmp/A14c-fix1	c31d8cb75 feat(sentry): widen DOM-mutation noise filter to include insertBefore (A14c-fix-1)
286M	clean	docs/A14c-production-error-triage	904	/private/tmp/A14c-prod-triage	ab74bdfa5 docs(observability): production error pattern triage (A14c-audit)
286M	clean	docs/A14d-chunk-recovery-audit	926	/private/tmp/A14d-chunk-instrumentation	f91ddf438 docs(observability): chunk recovery instrumentation audit (A14d-audit)
286M	clean	investigate/A14e-landing-cta	927	/private/tmp/A14e-landing-cta-broken	5246508fd docs(investigate): "Nói thử ngay" CTA does nothing — diagnosis report (A14e)
286M	clean	fix/A14e-landing-cta-anon-pair-key	928	/private/tmp/A14f-landing-fix	d9ee46f29 fix(landing): use ?trypron=1 URL param as anon-pair gate fallback (A14e-fix-1)
313M	clean	a15/raw-payload-backfill-sql	none	/private/tmp/A15-raw-payload-backfill	ea51abc1c ops(billing): raw_payload backfill SQL for 2 subscriptions rows (A15)
286M	clean	docs/A15-rls-canonical-reference	897	/private/tmp/A15-rls-docs	b579a3b21 docs(security): canonical RLS reference + inline policy documentation (A15)
286M	clean	docs/A15b-anon-tables-investigation	902	/private/tmp/A15b-anon-investigation	19ec7a142 docs(security): anon-readable tables investigation (A15b)
286M	clean	fix/account-deletion-manifest-entitlements	925	/private/tmp/A15b-manifest-fix	c0c65fef8 fix(account-deletion): classify entitlements table in user-data-manifest (unblock CI)
313M	clean	a16/expiry-flip-baseline	none	/private/tmp/A16-expiry-flip-count	d3b12d6e5 docs(billing): extract A12 B13-phase3 expiry-flip baseline SQL + decision matrix (A16)
286M	clean	a16/pr-template-verification-gate	890	/private/tmp/A16b-pr-template	25b0fb0e4 docs(pr-template): codify real-device verification gate from PRINCIPLES §3
286M	clean	chore/A16-pr-template-soft-enforce	896	/private/tmp/A16c-pr-template-observe	e39ebc0e8 chore(process): PR template soft-enforcement + weekly compliance observability (A16-soft)
286M	clean	docs/A16-agent-dispatch-skill	905	/private/tmp/A16d-skill	aa6235299 docs(skills): formalize agent dispatch discipline (A16-skill)
286M	clean	docs/A16d-http-status-audit	915	/private/tmp/A16e-http-status-audit	6f5307b5a docs(audit): HTTP-200-on-failure pattern sweep across edge functions (A16d)
286M	clean	fix/A16f-http-status-admin-management	931	/private/tmp/A16f-admin-management	ad652d4e7 fix(http-status): return proper status codes from admin-management (A16f-admin-management)
286M	clean	fix/A16f-http-status-email-broadcast	930	/private/tmp/A16f-email-broadcast	5af25f94c fix(http-status): return proper status codes from email-broadcast (A16f-email-broadcast)
286M	clean	fix/A16f-http-status-teacher-notifications	929	/private/tmp/A16f-teacher-notifications	f9e38c11f fix(http-status): return proper status codes from teacher-notifications (A16f-teacher-notifications)
313M	clean	feat/entitlements-table-migration	789	/private/tmp/A17-entitlements-migration	49d6f866e feat(db): entitlements table per A5 spec (D1=table)
313M	dirty	a18/recompute-impl-brief	none	/private/tmp/A18-recompute-impl-brief	c56663e7d docs(money-path): recomputeEntitlement implementation brief (A18)
286M	clean	detached	884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,935,936,937,939,940,941,942,943,945,946	/private/tmp/A18-track-a-executor	10f0b1533 fix(billing): exponential backoff + jitter on monotonic CAS retry (A91 fix A) (#766)
313M	clean	cleanup/delete-b25-numeric-tier-bypass	788	/private/tmp/A19-b25-bypass-delete	f35b69253 docs(recon): map B25 numeric tier>=N bypass — A19 no-op (gated on #774)
286M	clean	detached	899,928,929,930,931,932,935,936,937,939,940,941,942,943,945,946	/private/tmp/A19-track-a-executor	ebcf86c0a fix(account-deletion): classify entitlements table in user-data-manifest (unblock CI) (#925)
421M	clean	feat/b13ph3-pr-b	826	/private/tmp/A1c-b13ph3-prb	4fd140f6c feat(billing): B13ph3 PR-B — atomic R1–R4 repoint + parity tests (money-path)
421M	clean	feat/a18-recompute-entitlement-writer	843,864	/private/tmp/A1d-a18-pr1	f01abbbe8 feat(billing): A18 PR1 — recomputeEntitlement single writer (additive, zero call sites)
313M	clean	feat/a18-recompute-downgrade-beacon	864	/private/tmp/A1e-a18-pr15	051232979 feat(billing): A18 PR1.5 — downgrade beacon for recomputeEntitlement (A18 §7 row 6)
364M	clean	feat/a18-downgrade-beacon	866	/private/tmp/A1f-a18-pr15	a1bd11bf8 feat(billing): A18 PR1.5 — downgrade beacon (A18 §7 row 6, pre-PR2)
285M	clean	review/864-self-review-a1	none	/private/tmp/A1h-864-self-review	eca64060d docs(review): PR #864 A18 PR1.5 downgrade beacon — A1 self-review
286M	clean	docs/a18-pr2-scope	875	/private/tmp/A1i-a18-pr2-scope	b53c2c01a docs(billing): A18 PR2 scope — R1–R4 call-site wiring plan (post #789+#832 apply)
365M	clean	feat/a18-pr2-stripe-webhook-repoint	877	/private/tmp/A1j-a18-pr2	1a82aa6ef feat(billing): A18 PR2 — stripe-webhook repoint to recomputeEntitlement + dead writer deletion
313M	clean	chore/mylinh-apply-package	none	/private/tmp/A2-mylinh-package	2e1ba1cf2 docs(customer): mylinh apply-ready package (combined diagnosis + repair SQL + verify)
313M	clean	b5/mylinh-sql-regen	none	/private/tmp/A2-mylinh-regen	d70cd6d27 docs(remediation): regenerate mylinh paid-but-free roll-forward SQL (A2, B5/B66)
286M	clean	ci/A13-promote-module-boundaries	923	/private/tmp/A20-morning-cleanup	a039d4900 ci: re-trigger after morning cascade (2026-05-20T09:22:42Z)
286M	clean	detached	none	/private/tmp/A21-908-fix	460c90adb chore(lock): rebase #908 on main + regenerate lock
313M	clean	a21/revenuecat-mrr-projection-scope	none	/private/tmp/A21-revenuecat-mrr-scope	1f3853ef8 docs(money-path): scope RevenueCat MRR projection.ts fix — D4-gated (A21)
286M	clean	design/A22-placement-v3	932,942	/private/tmp/A22-placement-v3	fff693202 docs(placement): design v3 assessment
313M	clean	a22/safe-prune-script	none	/private/tmp/A22-prune-script	9d758b815 chore(worktree): A22 safe-prune runbook — live predicate, dry-run default
313M	clean	a23/agent-id-naming-collision	none	/private/tmp/A23-naming-collision	4ad193903 docs(recon): agent-ID namespace collision in reports/ (A23)
313M	clean	cleanup/northstar-strategy-naming	790	/private/tmp/A24-northstar-strategy	e469a90e4 docs: remove stale NORTH_STAR.md references (retired v2.0)
423M	clean	a25/bundle-audit-fresh	none	/private/tmp/A25-bundle-audit	c6f0f352b docs(perf): A25 bundle audit — speak-tab split lever is stale; MercyGuidePanel eager-import is the real win
365M	clean	feat/placement-v3-prompts-and-calibration	937,942	/private/tmp/A25-placement-v3-prompts	86ef89f4e feat(placement-v3): add prompts and calibration corpus
313M	clean	a26/mylinh-apply-runbook	none	/private/tmp/A26-mylinh-apply-runbook	7c0ab0aed docs(runbook): one-sitting apply runbook for mylinh paid-but-free SQL (A26)
313M	clean	a27/next-session-primer-may20	none	/private/tmp/A27-next-session-primer	f3026f4ad docs(primer): freshened next-session primer for 2026-05-20 (A27)
313M	clean	a28/gift-victim-repair-sql	none	/private/tmp/A28-gift-victim-repair	4d5e75112 ops(billing): gift-code victim entitlement re-grant SQL (A28)
421M	clean	fix/webhook-monotonic-object-quality	793	/private/tmp/A29-webhook-payload-fix	353cedc97 fix(webhook): monotonic raw_payload on object quality (per A14)
313M	clean	docs/pr-review-backlog-sequencing	813	/private/tmp/A2c-pr-review-backlog	224dcf07d docs(ops): PR review backlog — sequencing + risk matrix (A2c)
313M	clean	feat/b7-q1-q4-monitoring	784	/private/tmp/A3-b7-monitoring	60fca5cef docs(money-path): B7 Q1+Q4 SQL Editor monitoring runbook (A3)
1.3G	dirty	feat/a3-placement-v3-data-quality	none	/private/tmp/a3-placement-v3-data-quality	e6bb50cd4 feat(placement-v3): add data-quality audit tooling
421M	clean	perf/lazy-mercyguide-panel	794	/private/tmp/A30-mercyguide-lazy	0b71189ce perf(bundle): lazy-load MercyGuidePanel — 14.3 KB gz off first paint (A25 Lever 1)
313M	clean	a32/currency-interval-fix-scope	none	/private/tmp/A32-currency-interval-fix-scope	168c4782b docs(money-path): scope currency_code/billing_interval data-quality fix (A32)
365M	clean	feat/placement-v3-mercy-conversation	939,942	/private/tmp/A32-placement-mercy-conversation	e4692305d feat(placement-v3): add Mercy conversation assessment
294M	dirty	feat/a33-placement-v3-endurance-burnin	943	/private/tmp/a33-placement-v3-endurance-burnin	de6d31c28 feat(placement-v3): end-to-end integration + vertical E2E (A33) (#942)
313M	clean	feat/t2-retirement-migration	792	/private/tmp/A33-t2-retirement-migration	5cd269a95 feat(db): retire dormant T2 trigger + dead RPC (per A11 spec)
286M	clean	feat/a34-native-speaking-audio	941	/private/tmp/a34-native-speaking-audio	c82341e5a feat(placement-v3): add Android mic permission audit
421M	clean	cleanup/agent-id-tierc-archive	791	/private/tmp/A34-tierc-archive	d8dbd2bf5 cleanup(reports): archive 7 zero-reference legacy a<N>-* files (Tier-C per A23)
288M	dirty	feat/a36-grading-drift-detection	none	/private/tmp/a36-grading-drift-detection-pr943	f3af4aca8 docs(placement-v3): correct drift writing grader status
313M	dirty	a36/mylinh-postapply-verify	none	/private/tmp/A36-mylinh-postapply-verify	5ddcccdea docs(money-path): post-apply verification for mylinh paid-but-free fix (A36)
367M	dirty	detached	943	/private/tmp/a37-readiness-main	de6d31c28 feat(placement-v3): end-to-end integration + vertical E2E (A33) (#942)
286M	clean	feat/a37-shadow-session-replay	945	/private/tmp/a37-shadow-session-replay	fb0feef36 docs(placement-v3): document A37 runtime blockers
423M	clean	a37/vendor-split-measure	none	/private/tmp/A37-vendor-split-measure	4a55690ac docs(recon): vendor-split evidence — zod/sonner/date-fns are lazy-only, ship 3-way split (~31.4 KB gz, A37)
313M	clean	a38/native-sentry-audit	none	/private/tmp/A38-native-sentry-audit	492943cb7 docs(recon): native Sentry init audit — route-gate has no native carve-out (A38)
313M	clean	a39/support-inbox-gift-audit	none	/private/tmp/A39-support-inbox-audit	9ba49d2c7 docs(money-path): support-inbox gift-code complaint search + reply templates (A39)
313M	clean	chore/gift-outreach-ops	803	/private/tmp/A3b-gift-outreach-ops	779bc1922 docs(customer): gift-victim outreach send-side ops (A3b)
313M	clean	docs/strategy-drift-audit	812	/private/tmp/A3c-strategy-drift-audit	1f744d7f9 docs(strategy): STRATEGY drift audit post-2026-05-19 wave (A3c)
286M	clean	b6/cas-backoff-jitter	766	/private/tmp/A3k-766-rebase	76aad553e fix(billing): exponential backoff + jitter on monotonic CAS retry (A91 fix A)
286M	clean	p16-rebase	881	/private/tmp/A3l-p16-rebase	aadf74a0c chore(principles): consolidate P4 + P16 Last-updated entry
421M	clean	cleanup/b17-pr3-sign-audio-dead	785	/private/tmp/A4-b17-pr3-sign-audio	c2783118d cleanup(b17-pr3): remove dead sign-audio resolver path
313M	clean	review/db-prs-readonly	none	/private/tmp/A4-review-db-prs	b7cb12f0e docs(review): A4 read-only review of PRs #789 + #792 + #793 (DB/migration batch)
313M	clean	a40/account-deletion-reaudit	none	/private/tmp/A40-account-deletion-reaudit	117ee98af docs(audit): re-audit account deletion flow vs current main (A40)
313M	clean	a41/appstore-reaudit-may19	none	/private/tmp/A41-appstore-reaudit	11a55f657 docs(app-store): A41 readiness re-audit vs current main (1 new 🔴 blocker)
313M	clean	a42/subscription-amount-schema	none	/private/tmp/A42-subscription-amount-schema	75fd10e12 docs(money-path): subscription-amount column scheme design recon (A42)
313M	clean	a43/stripe-env-verification	none	/private/tmp/A43-stripe-env-check	b795fa456 docs(recon): Stripe live/test env code-side triage (A43)
429M	dirty	a46/account-a11y	727	/private/tmp/A46-a11y-next	cb4db2f66 fix(a11y): label confirm/time inputs + AA contrast on /account (A46)
313M	clean	a46/primer-refresh-may19-late	none	/private/tmp/A46-primer-refresh	706983a93 docs(primer): A46 refresh of A27's next-session primer (late May 19)
313M	clean	b67/entitlements-schema-spec	none	/private/tmp/A5-entitlements-schema	0aaec34f4 docs(money-path): entitlements table schema spec — D1 design recon (A5)
286M	clean	test/formatmoney-eur-coverage	879	/private/tmp/A5-pr786-fix	a184b5883 test(billing): pin EUR formatting under formatMoney's decimal path (A5)
313M	clean	review/perf-prs-readonly	none	/private/tmp/A5-review-perf-prs	5454d7d3e docs(review): A5 verdict on PRs #794 + #795 (perf/bundle batch 2)
421M	clean	ci/bundle-size-budget	809	/private/tmp/A5b-bundle-budget	3886d7de3 ci(perf): gzipped bundle-size budget gate (locks in #794+#795 wins)
286M	clean	chore/db-types-regen-post-789-832	882	/private/tmp/A6-db-types-g3	3864d71c6 chore(types): regenerate database.types.ts post #789+#832 apply
286M	clean	db-types-regen-post-789-832	881,882,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,935,936,937,939,940,941,942,943,945,946	/private/tmp/A6-db-types-regen	8afecfde4 fix(a11y): label confirm/time inputs + AA contrast on /account (A46) (#727)
313M	clean	b68/recompute-entitlement-design	none	/private/tmp/A6-recompute-design	8bbc27f4f docs(money-path): recomputeEntitlement single-writer design spec (B68)
313M	clean	review/cleanup-prs-readonly	none	/private/tmp/A6-review-cleanup-prs	6b8c39df8 docs(review): A6 batch 3 — APPROVE #791 + #796 (cleanup/native set)
422M	dirty	a61/seo-jsonld	739	/private/tmp/A61-seo-audit	32b92fb71 feat(seo): static Organization JSON-LD in SPA shell (A61)
422M	dirty	a68/mercy-feedback-config-diagnostics	745	/private/tmp/A68-feedback-livetest	654f0dad3 fix(api): mercy-feedback names the exact missing supabase env var (A68)
313M	clean	docs/796-device-verify	807	/private/tmp/A6b-796-device-verify	03a88bbe6 docs(native): real-device tracker-verify checklist for #796 (A6b)
313M	clean	docs/principles-immediate-dispatch	810	/private/tmp/A6c-principles-update	05f5d56cd docs(principles): P17 — free agent gets immediate next dispatch
313M	clean	docs/b1-manifest-table-classification	818	/private/tmp/A6d-b1-table-classify	aba3d6fba docs(privacy): B1 — 42-table classification for delete-account manifest (A6d)
313M	clean	docs/b1-manifest-crosscheck	827	/private/tmp/A6e-manifest-crosscheck	ad3e6d115 docs(privacy): B1 manifest crosscheck — A4 #811 vs A6d classification (A6e)
313M	clean	docs/privacy-decision-record-audit-retention	834	/private/tmp/A6f-privacy-decision-record	7573f1cc1 docs(privacy): backfill A4e migration PR number (#837) into audit-retention record
313M	clean	review/842-email-audit-gap-a	848	/private/tmp/A6g-842-review	c28e55383 docs(review): APPROVE #842 — email_audit GAP A recipient-scrub (A6g)
314M	clean	review/843-a18-pr1	855	/private/tmp/A6h-843-review	913d9995a docs(review): APPROVE #843 — A18 PR1 recomputeEntitlement single writer (A6h)
285M	clean	review/837-nullable-audit-a6	861	/private/tmp/A6i-837-review	b3975b15e docs(review): A6i concurs with A4i on #837 — APPROVE (independent spot-check)
285M	clean	review/842-billing-verify	867	/private/tmp/A6j-842-billing-verify	522e1b16e docs(review): A6j concur with A6g on #842 — billing-angle adds no new findings
285M	clean	review/864-downgrade-beacon-a6	871	/private/tmp/A6k-864-review	03cb4cad3 docs(review): APPROVE #864 — A18 PR1.5 downgrade beacon (A6k structural)
286M	clean	docs/principles-p18-report-headline	876	/private/tmp/A6n-p18	6a1c827ad docs(principles): P18 — boxed headline required on every report
313M	clean	fix/b22-redeem-gift-honest-errors	787	/private/tmp/A7-b22-narrow	45c600310 fix(billing): redeem-gift-code returns honest errors instead of ok:true silent loss (B22 narrow)
314M	dirty	a79/newuser-smoke	737,750,751,752,754,755,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946	/private/tmp/A79-newuser-smoke	b27001edf chore(assets): remove 6 unreferenced static files (690 KB) (A69) (#749)
314M	clean	fix/ios-dsym-doc-corrections-a7g	851	/private/tmp/A7h2-dsym-doc-fix	2b5d93d24 docs: correct PROJECT_DIR + Embed Frameworks references (A7g findings)
313M	clean	b69/d4-mrr-source-strategic	none	/private/tmp/A8-d4-mrr-source	499967d23 docs(money-path): D4 strategic recon — retire billing_price_map, MRR from amount-on-row (A8)
313M	clean	docs/raw-payload-feasibility-result	804	/private/tmp/A8b-raw-payload-query	4e8a17cd7 docs(billing): D4 raw_payload feasibility — result template + decision tree (A8b)
313M	clean	docs/a18-recompute-impl-prep	815	/private/tmp/A8c-a18-recompute-prep	75fdb2f2b docs(billing): A18 recompute impl readiness audit post-2026-05-19 (A8c)
313M	clean	docs/789-migration-verify	820	/private/tmp/A8d-789-migration-verify	406e83183 docs(billing): #789 migration pre-apply verify (A8d)
313M	clean	feat/recompute-entitlement-tx-rpc	832	/private/tmp/A8e-rpc-migration	eeaa4a08e feat(billing): recompute_entitlement_tx RPC migration (A18 unblock, A8d gap #2f)
313M	clean	docs/rpc-type-verify-a8f	836	/private/tmp/A8f-rpc-type-verify	07a8224be docs(billing): RPC ↔ TS type alignment verify — recompute_entitlement_tx vs _shared/entitlement.ts (A8f)
313M	clean	docs/database-types-regen-runbook	849	/private/tmp/A8g-types-regen-runbook	78f1af6c3 docs(billing): database.types.ts regen runbook — post #789+#832 apply (A8g)
314M	clean	fix/regenerate-db-types-output-paths	854	/private/tmp/A8h-fix-regen-script	51dbb5a14 fix(scripts): regenerate-db-types.sh — correct output paths + dual-file invariant
285M	clean	review/843-a18-pr1-a8	860	/private/tmp/A8i-843-review	c8c415a8b docs(billing): review PR #843 — A18 PR1 billing-logic angle (A8i)
285M	clean	review/864-downgrade-beacon	868	/private/tmp/A8j-864-review	2227b1d33 docs(billing): review PR #864 — A18 PR1.5 downgrade beacon (A8j)
286M	clean	ci/playwright-concurrency	880	/private/tmp/A9-playwright-concurrency	611e26a5b ci(playwright): add concurrency group to prevent runner exhaustion
313M	clean	a9/worktree-prune-audit	none	/private/tmp/A9-worktree-prune-audit	c3655ddd2 audit(worktree): A9 prune-safety verification — cross-ref BLOCKED (no paste), full current-state inventory
313M	dirty	a91/monotonic-diagnostic	761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946	/private/tmp/A91-monotonic-concurrent	530810784 feat(privacy): advertising/analytics tracking opt-out toggle (Account → Privacy) (#687)
313M	dirty	a94/stale-sub-rows-cleanup	762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946	/private/tmp/A94-stale-sub-cleanup	629a26cb9 fix(a11y+i18n): PhoneOtp Vietnamese localization + ResetPassword live region (#737)
313M	clean	docs/phantom-row-apply-runbook	806	/private/tmp/A9b-phantom-verify	337ffabda docs(security): phantom-row apply runbook + A94 loss formalization (A9b)
313M	clean	docs/pending-actions-consolidation	814	/private/tmp/A9c-pending-actions-consolidation	68420ba99 docs(ops): PENDING-CHAU-ACTIONS consolidation post-2026-05-19 wave (A9c)
313M	clean	docs/a94-formal-closure	766,777,780,797,810,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,935,936,937,939,940,941,942,943,945,946	/private/tmp/A9d-a94-closure	cff975a54 feat(billing): B13ph3 PR-A — _shared/entitlement.ts (additive, zero importers) (#802)
313M	clean	docs/red-branch-pr-candidates	825	/private/tmp/A9e-red-branch-audit	66c2e5a2d docs(ops): red-branch PR-candidate audit (A10b follow-up, A9e)
313M	clean	docs/b53-placeholder-delete-package	831	/private/tmp/A9f-b53-package	a7d915454 docs(billing): B53 placeholder-row DELETE package — billing_price_map (companion to #798)
313M	clean	docs/pending-actions-b53-addendum	833	/private/tmp/A9g-pending-actions-b53	9a8a684e9 docs(ops): add B53 sibling to PENDING-CHAU-ACTIONS §B.2a (A9g)
313M	clean	docs/reports-superseded-audit	839	/private/tmp/A9h-reports-audit	b58800105 docs(ops): reports/ superseded-doc audit (A9h)
313M	clean	docs/unknown-reports-classify	850	/private/tmp/A9j-unknown-reports-classify	e284fedf3 docs(ops): classify 11 UNKNOWN reports from A9h (A9j)
314M	clean	docs/reports-banners-and-archive	853	/private/tmp/A9k-banners-and-archive	68d11388b docs(ops): apply A9j banners + archive April 2026 agent-run reports (A9k)
314M	clean	docs/archive-class-banners	856	/private/tmp/A9l-archive-banners	0961b7d64 docs(ops): add ARCHIVE-CLASS banners to 9 cross-referenced April 2026 reports (A9l)
285M	clean	docs/next-session-primer-may20-v3	none	/private/tmp/A9m-primer-v3	08331e15f docs(primer): v3 update — #789+#832 merged, A18 PR1 in review (#843), reports rail shipped (A9m)
289M	dirty	feat/b1-test-stability-burndown	none	/private/tmp/b1-test-stability-push.VtLu79	246dd97f3 test: stabilize Placement V3 test harness
